method,clients,global,score
logit_consistency_1.0_agg_con_delta_weighted_cgd_delta_concurrent,0.839458413926499,0.9957972598133983,13.273955482224721
logit_consistency_0.5_agg_con_delta_weighted_cgd_delta_concurrent,0.851063829787234,0.9957972598133983,13.320377145667662
logit_consistency_0.9_agg_con_delta_weighted_cgd_delta_concurrent,0.8529980657640233,0.9957132050096663,13.326440129362311
logit_consistency_0.1_agg_con_delta_weighted_cgd_delta_concurrent,0.9090909090909091,0.994956711776078,13.535752219446293
logit_consistency_0.01_agg_con_delta_weighted_cgd_delta_concurrent,0.9284332688588007,0.9942002185424897,13.598073820934546
logit_consistency_0.001_agg_con_delta_weighted_cgd_delta_concurrent,0.9497098646034816,0.9910901908044045,13.621437121501035
