method,clients,global,score
distill_T8_a0.98_agg_con_delta_capped_cgd_delta_concurrent,0.95,0.9954610405984702,13.70942683349389
distill_T10_a0.98_agg_con_delta_capped_cgd_delta_concurrent,0.95,0.994872656972346,13.697716035912151
distill_T8_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9545454545454546,0.9954610405984702,13.727608651675709
distill_T4_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9545454545454546,0.9944523829536858,13.707537237804459
distill_T50_a0.98_agg_con_delta_capped_cgd_delta_concurrent,0.9545454545454546,0.9942842733462217,13.70419398041806
distill_T4_a0.98_agg_con_delta_capped_cgd_delta_concurrent,0.9636363636363636,0.9931915608977053,13.718840220929657
