method,clients,global,score
distill_T10_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9110251450676983,0.9947045473648819,13.538471945754539
distill_T8_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9264990328820116,0.9945364377574178,13.597023391800189
distill_T50_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9303675048355899,0.9945364377574178,13.612497279614502
distill_T4_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9342359767891683,0.9929393964865092,13.596230358106604
distill_T2_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9361702127659575,0.9893250399260318,13.532321197310274
distill_T1_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9361702127659575,0.9868033958140707,13.482490270965645
