method,clients,global,score
prox_0.1_agg_seq_delta_fedavg_update_delta_sequential,0.9439071566731141,0.9259477179120786,12.349420389758318
prox_0.01_agg_seq_delta_fedavg_update_delta_sequential,0.9497098646034816,0.9258636631083467,12.371074685057987
prox_0.5_agg_seq_delta_fedavg_update_delta_sequential,0.9535783365570599,0.949399008153316,12.82789811305324
prox_0.9_agg_seq_delta_fedavg_update_delta_sequential,0.9535783365570599,0.9560393376481466,12.954425497535308
prox_0.001_agg_seq_delta_fedavg_update_delta_sequential,0.9555125725338491,0.911658401277633,12.133260696336293
prox_1.0_agg_seq_delta_fedavg_update_delta_sequential,0.9574468085106383,0.949399008153316,12.843372000867555
