method,clients,global,score
logit_consistency_1.0_agg_seq_delta_fedavg_update_delta_sequential,0.8413926499032882,0.9962175338320585,13.29006434675744
logit_consistency_0.9_agg_seq_delta_fedavg_update_delta_sequential,0.8471953578336557,0.9955450954022023,13.299881801128423
logit_consistency_0.5_agg_seq_delta_fedavg_update_delta_sequential,0.8781431334622823,0.9957132050096663,13.427020400155346
logit_consistency_0.001_agg_seq_delta_fedavg_update_delta_sequential,0.9206963249516441,0.9920988484491888,13.525386550748642
logit_consistency_0.1_agg_seq_delta_fedavg_update_delta_sequential,0.9323017408123792,0.9943683281499538,13.616890683526858
logit_consistency_0.01_agg_seq_delta_fedavg_update_delta_sequential,0.9342359767891683,0.9935277801126334,13.607918405712047
