method,clients,global,score
T_4_alpha_0.95_ewc_lambda4_agg_con_weighted_cgw_weights_concurrent,0.8568665377176016,0.9868874506178028,13.166934552739468
T_8_alpha_0.95_ewc_lambda100_agg_con_weighted_cgw_weights_concurrent,0.8607350096711799,0.9888207111036396,13.220604025759792
T_4_alpha_0.95_ewc_lambda1_agg_con_weighted_cgw_weights_concurrent,0.8626692456479691,0.987475834243927,13.201762214749273
T_4_alpha_0.95_ewc_lambda100_agg_con_weighted_cgw_weights_concurrent,0.8626692456479691,0.9882323274775153,13.216708313308146
T_8_alpha_0.95_ewc_lambda4_agg_con_weighted_cgw_weights_concurrent,0.8665377176015474,0.9885685466924434,13.238828585502286
T_8_alpha_0.95_ewc_lambda8_agg_con_weighted_cgw_weights_concurrent,0.8723404255319149,0.9891569303185677,13.273676030100177
