method,clients,global,score
distill_T8_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9052224371373307,0.9946204925611498,13.513588990775165
distill_T50_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9052224371373307,0.994872656972346,13.518605784461474
distill_T2_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9168278529980658,0.9901655879633521,13.471590327860369
distill_T10_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9187620889748549,0.9945364377574178,13.566075616171563
distill_T4_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9245647969052224,0.9938639993275615,13.575915679214642
distill_T1_a0.95_agg_con_delta_capped_cgd_delta_concurrent,0.9342359767891683,0.9884844918887115,13.507959814201515
