method,clients,global,score
distill_T10_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9454545454545454,0.99504076657981,13.682879453375541
distill_T50_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9454545454545454,0.9945364377574178,13.672845442090324
distill_T50_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.95,0.9947045473648819,13.694371365483747
distill_T8_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.95,0.9952929309910061,13.706080184806677
distill_T4_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.95,0.9940321089350256,13.680998335938146
distill_T8_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9636363636363636,0.9945364377574178,13.745572714817598
