method,clients,global,score
aligned_feature_0.9_agg_seq_delta_fedavg_update_delta_sequential,0.839458413926499,0.9957972598133983,13.273955482224721
aligned_feature_1.0_agg_seq_delta_fedavg_update_delta_sequential,0.8433268858800773,0.9959653694208624,13.292777714376658
aligned_feature_0.5_agg_seq_delta_fedavg_update_delta_sequential,0.8704061895551257,0.9956291502059342,13.39439880561841
aligned_feature_0.01_agg_seq_delta_fedavg_update_delta_sequential,0.8955512572533849,0.9934437253089013,13.451509382569819
aligned_feature_0.1_agg_seq_delta_fedavg_update_delta_sequential,0.9110251450676983,0.9955450954022023,13.555200950064593
aligned_feature_0.001_agg_seq_delta_fedavg_update_delta_sequential,0.9439071566731141,0.992351012860385,13.623233953942776
