method,clients,global,score
ewc_100_agg_con_delta_weighted_cgd_delta_concurrent,0.9303675048355899,0.9809195595528284,13.343501842475508
ewc_4_agg_con_delta_weighted_cgd_delta_concurrent,0.9458413926499033,0.9812557787677566,13.41199460425078
ewc_10_agg_con_delta_weighted_cgd_delta_concurrent,0.9458413926499033,0.9789022442632597,13.365861608836079
ewc_20_agg_con_delta_weighted_cgd_delta_concurrent,0.9497098646034816,0.9810876691602926,13.424169604197683
ewc_8_agg_con_delta_weighted_cgd_delta_concurrent,0.9497098646034816,0.9776414222072791,13.35666696256864
ewc_0.2_agg_con_delta_weighted_cgd_delta_concurrent,0.9516441005802708,0.9804152307304362,13.418716648803228
