method,clients,global,score
ewc_1_agg_seq_delta_fedavg_update_delta_sequential,0.9381044487427466,0.9833571488610574,13.422330617132465
ewc_8_agg_seq_delta_fedavg_update_delta_sequential,0.9497098646034816,0.9820122720013449,13.44232048202636
ewc_20_agg_seq_delta_fedavg_update_delta_sequential,0.9497098646034816,0.9791544086744558,13.386273018680159
ewc_200_agg_seq_delta_fedavg_update_delta_sequential,0.9516441005802708,0.9833571488610574,13.476489224482561
ewc_4_agg_seq_delta_fedavg_update_delta_sequential,0.9516441005802708,0.9795746826931159,13.40224199205427
ewc_0.2_agg_seq_delta_fedavg_update_delta_sequential,0.9516441005802708,0.9794065730856518,13.398948756354885
