method,clients,global,score
T_4_alpha_0.95_ewc_lambda4_agg_con_delta_weighted_cgd_delta_concurrent,0.8974854932301741,0.982264436412541,13.238376203329164
T_8_alpha_0.95_ewc_lambda1_agg_con_delta_weighted_cgd_delta_concurrent,0.9032882011605415,0.9820122720013449,13.2566338282546
T_4_alpha_0.95_ewc_lambda100_agg_con_delta_weighted_cgd_delta_concurrent,0.9032882011605415,0.9805833403379003,13.228589678124509
T_4_alpha_0.95_ewc_lambda8_agg_con_delta_weighted_cgd_delta_concurrent,0.9090909090909091,0.9826006556274691,13.291404120758958
T_8_alpha_0.95_ewc_lambda4_agg_con_delta_weighted_cgd_delta_concurrent,0.9148936170212766,0.9805833403379003,13.275011341567449
T_8_alpha_0.95_ewc_lambda100_agg_con_delta_weighted_cgd_delta_concurrent,0.9168278529980658,0.9794065730856518,13.259683766026065
