method,clients,global,score
T_8_alpha_0.95_ewc_lambda100_agg_seq_delta_fedavg_update_delta_sequential,0.8800773694390716,0.9782298058334034,13.089645007964865
T_4_alpha_0.95_ewc_lambda4_agg_seq_delta_fedavg_update_delta_sequential,0.8858800773694391,0.9776414222072791,13.10134781363247
T_4_alpha_0.95_ewc_lambda100_agg_seq_delta_fedavg_update_delta_sequential,0.8897485493230174,0.9808355047490964,13.179377071056216
T_8_alpha_0.95_ewc_lambda8_agg_seq_delta_fedavg_update_delta_sequential,0.8974854932301741,0.9778095318147432,13.151056777998368
T_4_alpha_0.95_ewc_lambda8_agg_seq_delta_fedavg_update_delta_sequential,0.90715667311412,0.9785660250483316,13.2045413462454
T_8_alpha_0.95_ewc_lambda1_agg_seq_delta_fedavg_update_delta_sequential,0.9090909090909091,0.9800790115155081,13.241912324495791
