method,clients,global,score
prox_1.0_agg_con_delta_weighted_cgd_delta_concurrent,0.9400386847195358,0.9506598302092965,12.797695866613825
prox_0.001_agg_con_delta_weighted_cgd_delta_concurrent,0.9458413926499033,0.9198957720433723,12.245447884832332
prox_0.1_agg_con_delta_weighted_cgd_delta_concurrent,0.9497098646034816,0.9414978566025048,12.663021598285034
prox_0.5_agg_con_delta_weighted_cgd_delta_concurrent,0.9535783365570599,0.9400689249390602,12.651609182589043
prox_0.01_agg_con_delta_weighted_cgd_delta_concurrent,0.9535783365570599,0.9219130873329411,12.31355075218579
prox_0.9_agg_con_delta_weighted_cgd_delta_concurrent,0.9555125725338491,0.9504076657981003,12.854797602213331
