method,clients,global,score
distill_T50_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9692307692307692,0.9901655879633521,13.681201992791184
distill_T10_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9910901908044045,13.730289970779417
distill_T8_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.989829368748424,13.705314100061342
distill_T10_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9884844918887115,13.67870821473715
distill_T50_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9884844918887115,13.67870821473715
distill_T4_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9846153846153847,0.9888207111036396,13.716125525536611
