method,clients,global,score
distill_T50_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9692307692307692,0.9906699167857443,13.691191917165813
distill_T8_a0.7_agg_seq_delta_fedavg_update_delta_sequential,0.9692307692307692,0.9884004370849794,13.64627731722086
distill_T8_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9915945196267967,13.740289221231285
distill_T50_a0.95_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.992351012860385,13.755297634942627
distill_T10_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9870555602252669,13.650479097408462
distill_T4_a0.98_agg_seq_delta_fedavg_update_delta_sequential,0.9769230769230769,0.9868033958140707,13.645501727594123
